"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","reason","nursery","internet","Fjob","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","alc_use","high_use"
"1","GP","F",18,"U","GT3","A",4,4,"at_home","course","yes","no","teacher","mother",2,2,0,"yes","no","no","no","yes","no",4,3,4,1,1,3,5,2,8,8,1,FALSE
"2","GP","F",17,"U","GT3","T",1,1,"at_home","course","no","yes","other","father",1,2,0,"no","yes","no","no","yes","no",5,3,3,1,1,3,3,7,8,8,1,FALSE
"3","GP","F",15,"U","LE3","T",1,1,"at_home","other","yes","yes","other","mother",1,2,2,"yes","no","yes","no","yes","no",4,3,2,2,3,3,8,10,10,11,2.5,TRUE
"4","GP","F",15,"U","GT3","T",4,2,"health","home","yes","yes","services","mother",1,3,0,"no","yes","yes","yes","yes","yes",3,2,2,1,1,5,1,14,14,14,1,FALSE
"5","GP","F",16,"U","GT3","T",3,3,"other","home","yes","no","other","father",1,2,0,"no","yes","yes","no","yes","no",4,3,2,1,2,5,2,8,12,12,1.5,FALSE
"6","GP","M",16,"U","LE3","T",4,3,"services","reputation","yes","yes","other","mother",1,2,0,"no","yes","yes","yes","yes","no",5,4,2,1,2,5,8,14,14,14,1.5,FALSE
"7","GP","M",16,"U","LE3","T",2,2,"other","home","yes","yes","other","mother",1,2,0,"no","no","no","no","yes","no",4,4,4,1,1,3,0,12,12,12,1,FALSE
"8","GP","F",17,"U","GT3","A",4,4,"other","home","yes","no","teacher","mother",2,2,0,"yes","yes","no","no","yes","no",4,1,4,1,1,1,4,8,9,10,1,FALSE
"9","GP","M",15,"U","LE3","A",3,2,"services","home","yes","yes","other","mother",1,2,0,"no","yes","yes","no","yes","no",4,2,2,1,1,1,0,16,17,18,1,FALSE
"10","GP","M",15,"U","GT3","T",3,4,"other","home","yes","yes","other","mother",1,2,0,"no","yes","yes","yes","yes","no",5,5,1,1,1,5,0,13,14,14,1,FALSE
"11","GP","F",15,"U","GT3","T",4,4,"teacher","reputation","yes","yes","health","mother",1,2,0,"no","yes","yes","no","yes","no",3,3,3,1,2,2,1,12,11,12,1.5,FALSE
